S.no,E.no,id,rewards,사건,시간대,획득 위치 1,획득 위치 2,desc1,desc2,단서 획득 조건,
,3A02,10,수상한 공간,53,72,411d214,9402,4023,총장님 사무실에 이런 공간이 있을 줄이야... 지금까지 지부에서 일하면서 처음 안 사실이다. 도대체 무엇을 감추고 싶어 했던 걸까,,
,,11,세번째 피해자_총장,53,71,411d214,9404,4025,총장님...,,
,3A03,12,꽃 거래 내역서,53,72$73$74,411d214,9410,4028,백합과 메꽃이라...백합이야 흔하지만 메꽃은 뭐지?,4027,
,,13,흐트러진 공간,53,72$73$74,411d214,9409,4027,총장님 답지 않게 어질러져 있다. 이러실 성격이 아닌데,,
,,14,수상한 사람의 방문,53,73,411d11,1400,4000,이런 시기에 이상한 사람이 들어오다니. 모두에게 예의주시 하라고 전해야 할 것 같다.,,
,3A04,15,달력의 날짜,53,71$72$73$74,411d214,9405,4026,달력에 특정 날마다 동그라미가 쳐져 있다. 달마다 어디라도 가신 것 일까?,,
,,16,격렬한 몸싸움,53,71$72$73$74,411d214,9404,4024,총장님이 제압하지 못할 만한 사람이라... 그게 몇 명이나 될까? 혹시 범인은... 남자인가?,,
,,17,찢어진 종이조각,53,73,311,9300,5003,...어디서 본 거 같은데.,,
,,18,깨끗한 건물,53,71,312,1301,5006,슬램가에서 유일하게 깨끗하게 생긴 건물이다. 무엇을 하는 곳일까? 한번 들어가 보는게 좋을 것 같다.,,
,,19,슬램가의 남매?,53,74,312,1301,5008,슬램가의 사람들이 좋아했던 남매..?하지만 이곳에서 여자아이는 본적이 없는데… 누구일까,,
,,20,겁쟁이와 남매이야기,53,72$73$74,321,1302,5020,…지금은 슬램가에 살고 있지 않은 것 같다. 아마… 두번째 피해자가 남매 중 오빠였던거 같다.,,
,,21,정보상이라니,53,72$73$74,312c11,1305,5035,진짜로 정보상이 있었다니…놀라운 사실이다.,,
,,22,슬램가의 남매 이야기,53,74,312c11,1305,5037,…계속 듣게 되는 이야기로$ 이 사람들이 얼마나 그들을 아꼈는지 알 것같다. 마치 그들은 가족같았다.,5035,
,,23,교황청의 무료봉사,53,73,312c11,1305,5038,교황청에서 그런 좋은 일을 하고 있을 줄은 몰랐다. 어쩐지…최근에 체스미터 대사제를 도심에서 자주봤던 기억이 있다.,5035,
,,24,신출귀몰의 사람,53,72,312c11,1305,5039,이곳 저곳 가리지 않고 나타난다는 사람… 도대체 누구일까? 그의 행적이 매우 의심스럽게 느껴진다.,5035,
,3A05,25,큰 돈과 큰 배,53,72$73$74,312c12,1306,5042,큰 돈을 벌 수 있는 방법…그리고 그것과 관련된 큰 배… 큰 배라면 유람선 같은 것인가? 그렇게 큰 유람선에서 파티를 하는데 필요한 것을 왜 저런식으로 구하는 거지,5035,
,,26,교황의 후계,53,72,312c12,1306,5043,교황이 교체된다니…벌써 그런 시기가 되었구나. 그리고 역시… 그가 차기 교황으로 추앙받고 있군… 다행이다.,5035,
,,27,두번째 피해자의 집,53,71472$73$74,121,레이나의 집 문,2076,...두번째 피해자의 집이다. 이 곳에서 알 수 있는 사실들이 얼마나 있을 까...궁금하다.,201,
,,28,편지 봉투,53,71472$73$74,411d214,9406,4029,편지봉투들... 그런데 왜 편지는 없고 봉투만 있는거지,,
,3A06,29,유람선 티켓,53,71472$73$74,411d214,9407,4030,유람선이라... 항구에 한 번 가봐야겠네. 그런데 어디로 가는 거지 백지 티켓인건가,,
,3A07,30,입양 서류,53,71472$73$74,411d214,9408,4031,...여기에 나도...그 아이는 없겠지.,,
,,31,몰락 귀족 리스트,53,72$73$74,411d214,9410,4032,이들이 범죄라도 저지른 건가. 하긴 대부분의 몰락 귀족들은 범법 행위를 통해 재산이 몰수된 경우가 대다수이지.,4027,
,,32,광산의 대지주,53,72$73$74,411d214,9410,4033,광산이라... 총장님의 재산에 이렇게 큰 건 없던걸로 알고 있는데,4027,
,3A08,33,입양과 후원,53,72$73$74,411d214,9410,4034,...말도 안되는 숫자야. 이정도면 약 10년동안 못해도 50명의 아이들이 입양되고 후원된것인데... 내가 모를리가.,4027,
,,34,레이나의 애인,53,72,613,1601,7009,레이나에게 정말로 애인이 있었던 걸까? 증언이 사실이라면 유력한 용의자가 될 수도 있을 것이다.,레이나 집에서 조사 1회 이상,
,,35,덩치 큰 수사관,53,72,623,1603,7030,새로운 수사관이 배정되었다는 건 듣지 못했다. 왜 사건을 조사하고 다니는 걸까? 혹시… (자기가 들킨 걸까?),72 시간대에 두번째로 말 걸기,
,,36,이상한 종잇조각,53,73,612$613$621$622$623,1604,7054,구겨지고 찢어져서 알아보기 어렵지만… 어딘가 수상한 구인구직 전단지이다. 생선가게 주인이 말한 큰 돈을 버는 방법이라는 게 혹시 이 전단지 일까?,7017,
,,37,총장과 쇼핑,53,71,812,1803$1804,6025,총장의 죽음과 귀족의 쇼핑. 전혀 관련없어 보이는 두가지는 무슨 연결고리를 가진걸까? 그 쇼핑이 대체 무엇이기에 하인들은 그렇게 몸을 사리는 것일까? 어쩌면 사건과 큰 연관이 있을 지도 모른다...,71 시간대에 첫번째로 말 걸기,
,,38,부엉이와 멜리사,53,조건 달성시,813j12,1003,6070,부엉이라면 분명 정보상의 암호다. 멜리사는 이걸 어떻게 알고 있는 걸까? 단순히 우연의 일치일까? 아니면...,멜리사와 5회 이상 대화$ 정보상 방문 1회 이상,
,,39,범인의 재방문,53,73,212,1200$1201,3002,범인은 사건 현장에 반드시 돌아온다… 이 유명한 말은 설득력이 있는 편이다,저택가에 1회 이상 방문,
,,40,입양이 싫은 아이들,53,71,231,1202,3013,고아들을 거둬들인 총장. 모두가 좋아할 것 같던 그를 싫어하는 아이들이 있었다. 입양에 대해 부정적인 반응을 보이는 이유가 무엇일까?,1202과 2회 이상 대화,
,,41,멜리사의 상처,53,72$74,731k12,1003,9016,멜리사의 작은 몸을 뒤덮은 상처들... 오래된 흉터와 무덤덤한 태도들은 그녀가 시달려온 기나긴 폭력의 세월을 짐작하게 한다. 과연 멜리사를 때린 건 누구일까?,남매의 집 2회이상 방문$조사 시,
,,42,사라진 사람들,53,74,813j11,1808$1809,6054,최근 사라진 사람들에 대한 소식이 계속해서 들려온다. 정말 다들 도망간 것일까? 아니면 어떠한 사건이 발생한 걸까?,,
,,43,메르테의 과거,53,71,212e 12,1205,3030,집사님을 뵙는 건 오랜만이다. 잊고 있던 기억이 떠오른다. 메리$ 너도 지금의 나를 보면 기뻐할까? 총장님은 어떠세요?,71 시간대에 첫번째로 말 걸기,
,,44,소란스러운 밤,54,78,322,1303,5480,첫번째 피해자가 죽기 전에 싸운 인물이라... 혹시 우발적인 범행이었을까?,5415,
,,45,아놀드의 부성애,54,77,322,1303,5415,이렇게 남을 친 가족처럼 아껴줄 수 있는 사람이 몇이나 될까,5481,
,,46,아놀드의 과거,54,76,322,1304,5481,...,,
,,47,두번째 피해자와 아놀드,54,77,322,1303,5417,두번째 피해자가 죽기 전에 마지막으로 만났던 사람이 이 사람인건가... 한 번 조사해 볼 필요가 있을 것 같다.,,
,,48,수상한 발루아,54,78,322,1304,5420,수상한 사람... 정체가 뭐지? 도대체 이런 짓을 하는 목적은?,,
,,49,또 다른 수사관,54,76,322,1303,5407,...뭐 딱히 수상한 짓은 아니지.,,
,,50,유람선과 레이나,54,79,322,1303$1304,5423$5424,두번째 피해자는 왜 유람선에 갔던 거지? 그 곳은...,,
,,51,여왕의 협정,54,76,312c11,1305,5456,왕권과 교권의 결합이라...과연 나라의 권력이 어떻게 될지 참으로 궁금하네,,
,,52,여왕의 선행,54,76,312c11,1305,5457,조금 더 살기 편해지겠네...근데 귀족들도 이걸 찬성할까,,
,,53,학대의 흔적,54,75,312c11,1305,5462,이건 분명한 학대이다. 누구에게 이런 학대를 당한 것일까...,,
,,54,유람선에 꽂 조달,54,76,512,1501,8412,유람선과 꽃...어울리지만 어울리지 않아... 사실 이건 그들만의 은어인가?,,
,,55,사라지는 아이들 1,54,76,512,1501,8410,어디서 이런 소문이 돌기 시작한 거지?,,
,,56,사라진 아이1,54,79,512,1502,8418,...도대체 누가?,,
,,57,사라지는 아이들 2,54,75$76$77$78,111,1101,2401,어디서 시작된 소문일까. 과연 사실일까?,,
,,58,사라진 아이2,54,79,111,1100$1101,2411$2498,...제발 아무 일도 없기를...,,
,,59,아이들이 좋아한 사람,54,77,111,1100$1101,2407$2408,그녀는 아이들을 좋아하는 걸까? 듣기로는 까칠한 사람같은데 실상은 착한 사람인 것 같다.,,
,,60,교황청의 자원 봉사자,54,76,212,1200$1201,3403,교황청에서 갑자기 왜 자원 봉사를 나온 것일까? 험악하고 덩치 큰 사람이라니...누군가 떠오를 것 같다.,,
,,61,피해자들,54,76,312c12,1306,5474,,,
,,62,돌아온 사람들,54,76,813j11,1808$1809,6446,돈을 벌러 간 후 실종되었던 사람들이 돌아왔다고 한다. 왜 하필 지금?,6054,
,,63,입양 간 아이들,54,77$78$79,212f14,1209,3466,갑작스런 입양$ 배$ 아무도 정확히 모르는 목적지...느낌이 좋지 않다.,,
,,64,자작의 악몽,54,75$76$77$78,221g11,1211,3471,한밤 중의 침입자. 직접 잡기까지 했다는 그 말은 정말로 신경이 예민해진 자작의 착각이었을까...,,
,,65,자작의 티타임,54,75$76$77$78,221g25,1211,3472,한 시간동안 티타임이라...정말 수사가 목적이었을까?,,
,,66,귀족들의 파티,54,76,813h12,1805$1806,6431,선상 파티가 다시 시작 되었다고 한다...누가?,,
,,67,소각장의 거지,54,75$76$77$78,221g13,1213,3488,거지가 굳이 이 곳까지 와서 무엇을 뒤지고 있던 걸까. 찾고 싶은 게 있었던 걸까?,,
,,68,도둑의 방문,54,75$76$77$78,221g12,1212,3481,아무것도 훔쳐가지 않은 도둑이라...확실히 이상하다. 도둑이란 이름 뒤에 숨겨진 진짜 의도는 무엇일까.,,
,,69,새로운 애인,54,75$76$77$78$79,613,1601,7406,갑자기 시장에는 왜 나타난 걸까. 게다가 그녀와 함께...,7009,
,,70,자작의 부지,54,조건달성,811i11,1801,6410,자작의 부지가 공동 묘지로 쓰이고 있었다니... 그 수많은 시체는 어디서 온 것 일까?,6403$6407$6422,
,,71,아놀드의 증언,54,76,722,1009,9404,약 냄새가 났다라...확실히 떠오르는 사람이 있군.,,
,,72,찾아오는 사람들,54,75$76$77$78,221g22,1214$1215,3494,자작이 죽자 마자 자작 밑에서 일했다며 찾아오는 사람들...정말 돈을 뜯어먹기 위한 거짓말 일까?,,
,,73,버려진 단도,54,75$76$77$78$80,733,9706,9422,대체 누가 이런 물건을 호수에 버린 것일까? 또 깊은 숲 속 호숫 바닥 아래 단도와 함께 숨기고 싶던 것은 무엇일까?,,
,,74,손목의 자국,54,75,731k13,1003,9414,누군가에게 강한 힘으로 쥐어 잡힌 듯한 자국. 오래되지 않아 보인다. 대체 누가?,9405,
,,75,혼란 속에 강도살인,54,76,411d11,1400,4411,이 연쇄살인이라는 혼란에 틈타 사건을 저지르고 다니는 듯 하다. 하지만 분명한건 이건 이 사건의 범인이 아니야.,,
,,76,안드렌의 증거품 전달?,54,조건달성시,411d11,1400,4430,...왜 전달 받지 못한거지?,,
,,77,여왕에게 보고,54,78,411d22,1013,4439,...이 사건에 여왕은 관심이 많다...그렇겠지... 이렇게 일이 커졌으니... 곧 보고하러 가야될 것 같다.,,
,,78,총장의 후원과 그 아이들,54,75,411d22,1013,4435,총장님은 많은 아이들을 후원했다. 끝까지 남아 있던 아이들의 소식은 간간히 들리지만...입양간 아이들에게서는 한 번도 소식을 직접 들은 적이 없다. 그립다.,306,
,,79,오래된 입양서류,54,77,411d22,책장,4434,...왜 이게 여기에...카린...,4433,
,,80,남매와 아놀드,54,76,411d22,1013,4437,이들에게 엮인 일은 과연 무엇일까.,,
,,81,수상한 진범?,54,78,111,1100$1101,2409$2410,...이 지긋지긋한 사건의 진범에 대한 소문이 돌고 있는 듯하다. 도대체 누가 그런 소문을 퍼트린거지?,309,
,,82,광대에게 넘어간 사람,54,78,113,1105,2427,광대에게 넘어간 사람이라...이건 무엇을 뜻하는 걸까.,,
,,83,풍선과 인형극,54,77,113,1103$1102,2436$2437,풍선 아저씨와 인형극... 극단이 방문했다는 이야기는 들은 적이 없다. 정체가 뭐지?,,
,,84,발루아의 우편물,54,75,132,1110$1109,2479$2480,"발루아라는 사람의 우편물이다. 그 안에는 잉크자국이 잔뜩 있는 손수건과 쪽지가 있었다. 쪽지에는 이렇게 적혀져 있다. ""난 다 알고 있어. 그러니 계속 성공했다고 자만하지마"" ",,
,,85,남동생과 메꽃,54,77,512,1502,8417,사라진 남동생과 남겨진 메꽃이라...혹시...,,
,,86,고아원의 위치,54,75,312c11,1305,5467,륑 자작이 운영하는 고아원은 여왕에게 직접 인증을 받은 기관으로 유명하다. 하지만 대다수의 사람이 실제로 본적이 없다. 다른 나라에 있어서 그런건가.,,
,,87,자취를 감춘 아이,54,79,312c12,1306,5478,과연 홀로 남겨진 아이는 어디로 갔을까? 생각해보자.,,
,,88,수상한 놀이상대,54,75$76$77$78$79,231,1202,3414,아이를 대하는 게 서투른 사람이$ 아이와 놀아주며 무엇을 얻으려 한 걸까? 수상한 사람이다.,,
,,89,아이와 레이나,54,조건달성,231,1202,3415,레이나는 총장의 저택으로 간다는 아이에게 왜 화를 낸 걸까? 분명 무언가 알고 있었던 거야. 레이나가 화를 낸건 아이에게가 아니라...,316,
,,90,광산 채굴권,54,75$76$77$78$79,221g25,9822,3501,광산 채굴권이라니. 자작이 광산을 가지고 있었나?,,
,,91,자작의 황무지들,54,75$76$77$78$79,221g26,9825,3504,이런 쓸모 없어 보이는 황무지를 자작은 왜 산 걸까?,,
,,92,깨진 약병,54,75,221g26,9827,3506,자작이 이런 약을 복용한다고는 듣지 못했는데...혹시?,,
,,93,아놀드의 추리,54,79,722,1009,9403,확실히 틀린 말은 아니지만$ 비약적인 면이 있다. 왜 그렇게 단정하는 거지?,,
,,94,아놀드의 협박,54,조건달성,722,1009,9406,굉장히 위협적으로 들린다. 가지 못하게 하려는 건...무언가를 숨기고 싶기 때문인가?,9414,
